Gyroscope self-test executed 1000 times, average result taken for each axis. (Success under 14)




X = 1.66417 :  Y = -2.70056 :  Z = 2.81431
X = 3.49942 :  Y = -1.18759 :  Z = 1.80496
X = 3.82603 :  Y = -0.520589 :  Z = 2.51744
X = 1.11981 :  Y = -0.260295 :  Z = 1.00935
X = 3.34389 :  Y = -0.976105 :  Z = 2.07808
X = 3.375 :  Y = -0.976105 :  Z = 2.1137
X = 1.33756 :  Y = -2.81443 :  Z = 2.42244
X = 2.28629 :  Y = -2.65175 :  Z = 2.77868
X = 3.23502 :  Y = -0.634468 :  Z = 2.29182
X = 0.902072 :  Y = -3.66039 :  Z = 1.29434
X = 1.95967 :  Y = -2.66802 :  Z = 3.01618
X = 2.79954 :  Y = -1.05745 :  Z = 1.93558
X = 3.87269 :  Y = -4.0671 :  Z = 2.29182
X = 1.63306 :  Y = -3.49771 :  Z = 2.1137
X = 2.31739 :  Y = -2.84697 :  Z = 2.75493
X = 3.6705 :  Y = -0.699542 :  Z = 2.23245
X = 2.03744 :  Y = -2.99339 :  Z = 2.98055
X = 2.05299 :  Y = -2.94458 :  Z = 2.46994
X = 3.59274 :  Y = -0.683273 :  Z = 2.04245
X = 3.59274 :  Y = -1.04118 :  Z = 2.0662
X = 1.89746 :  Y = -2.86324 :  Z = 2.74306
X = 3.84158 :  Y = -0.390442 :  Z = 2.3037
X = 3.46831 :  Y = -0.569394 :  Z = 2.04245
X = 2.03744 :  Y = -3.02592 :  Z = 2.57681
X = 2.09965 :  Y = -2.68429 :  Z = 2.62431
X = 2.33295 :  Y = -1.98475 :  Z = 0.0237494
